office_location,address,2026_rent,2026_anaplacn_hc,2026_rent_per_anapaln_headcount,2026_capex,lease_expiration_date
Albuquerque,"6565 Americas Parkway NE, suite 320","$85,048 ",26,"$3,271 ",,31-Aug-30
Arlington,3101 Wilson Blvd.,"$491,130 ",130,"$3,793 ",,31-Jan-31
Atlanta,1545 Peachtree Street,"$793,299 ",145,"$5,463 ","$3,118,078 ",30-Jun-26
Austin,2500 Bees Cave Road ,"$1,110,743 ",110,"$10,125 ",,31-Mar-30
Baltimore,"2650 Quarry Lake Dr, Suite 300, Baltimore, MD 21208","$63,187 ",8,"$7,898 ",,31-Jul-27
Boston,One Federal Street,"$421,723 ",72,"$5,826 ",,29-Feb-28
Charleston,465 Meeting Street,"$4,437,542 ",447,"$9,932 ","$981,500 ",1-Dec-28
Charlotte,2151 Hawkins Street,"$366,428 ",107,"$3,425 ",,31-Dec-32
Chicago,311 South Wacker Drive,"$409,779 ",103,"$3,998 ","$20,000 ",30-Nov-33
Dallas - Cypress Waters,8840 Cypress Waters Blvd,"$958,962 ",125,"$7,672 ","$350,000 ",31-Aug-32
Dallas - Southlake,Granite Place Two at Southlake Town Square,"$710,983 ",465,"$1,529 ","$25,000 ",31-Jul-35
Dallas - Old Parkland,4010 Maple Ave,"$100,000 ",17,"$5,882 ",,30-Jun-32
Escondido,960 Canterbury Place (suite 100 & 220),"$163,580 ",113,"$1,448 ","$25,000 ",30-Sep-31
Eugene,"2911 Tennyson Ave., Suite 101","$16,656 ",3,"$5,552 ",,15-May-28
Fort Lauderdale,788 E Las Olas Blvd,"$476,317 ",59,"$8,073 ","$30,000 ",31-Jan-27
Greenwood Village,5445 DTC Parkway ,"$352,166 ",133,"$2,644 ",,31-Jul-29
Houston,730 Town and Country Blvd,"$948,395 ",420,"$2,256 ","$15,000 ",28-Feb-35
Las Vegas,6623 Las Vegas Blvd,"$112,152 ",19,"$5,903 ",,31-Dec-28
Torrance,3625 Del Amo Blvd. Torrance CA,"$70,668 ",4,"$16,628 ",,28-Feb-27
Lynnwood,19020 33rd Ave W,"$56,981 ",77,$740 ,,31-May-26
Memphis,999 Shady Grove Road,"$527,924 ",157,"$3,363 ","$975,000 ",15-Aug-26
Brentwood,12 Cadillac Drive,"$106,254 ",37,"$2,872 ",,30-Apr-29
Nashville,"827 19th Ave S, Suite 930","$349,822 ",8,"$42,403 ",,31-Mar-32
New York,280 Park Avenue,"$978,009 ",75,"$13,040 ","$200,000 ",30-Jul-31
Newport Beach,620 Newport Center Drive,"$1,189,839 ",145,"$8,206 ","$50,000 ",31-Jan-33
Orlando,301 E Pine Street,"$149,964 ",62,"$2,419 ","$20,000 ",31-May-29
Philadelphia,161 Washington Street,"$146,705 ",54,"$2,742 ","$10,000 ",30-Sep-31
Phoenix,2525 East Camelback Road,"$1,553,631 ",424,"$3,664 ","$31,000 ",31-Aug-28
Portland,1125 NW Couch Street,"$455,987 ",54,"$8,444 ","$15,000 ",30-Sep-29
Raleigh,1101 E Whitaker Mill Road,"$216,959 ",52,"$4,172 ",,1-Jul-32
Roseville,1430 Blue Oaks Blvd,"$82,777 ",25,"$3,311 ","$200,000 ",30-Sep-30
San Antonio,927 E Sonterra Blvd,"$257,638 ",46,"$5,601 ","$5,000 ",31-Jul-33
San Francisco,450 Sansome Street,"$361,974 ",77,"$4,717 ","$487,500 ",30-Apr-27
San Jose,2025 Gateway Place,"$99,340 ",39,"$2,547 ","$35,000 ",31-Jul-27
Seattle,800 Fifth Avenue,"$213,621 ",153,"$1,396 ","$257,500 ",1-Feb-33
Solana Beach,380 Stevens Avenue,"$186,565 ",11,"$16,960 ","$20,000 ",31-May-27
Tampa,"The Loft at Midtown, Suite 330, 3615 Bromley Grand Avenue, Tampa, Florida
33607","$255,448 ",267,$957 ,,31-Jan-29
Dublin,"63 Merrion Square, 2nd & 3rd Floor, Dublin 2","$104,390 ",8,"$13,049 ",,12-Oct-33
Frankfurt,"Bleidenstrasse 1, 60311 Frankfurt","$259,034 ",16,"$16,190 ",,31-Jul-28
London,"The Gilbert, 40 Finsbury Square, Partial Ground Floor (West) & Level 1","$3,699,484 ",295,"$12,541 ",,24-Oct-38
Madrid,"Torre Europa, Paseo Castellana 95","$446,355 ",48,"$9,299 ",,31-Mar-29
Melbourne,"80 Collins Street, North Tower","$190,363 ",10,"$19,036 ","$377,408 ",30-Sep-28
Mohali,"CP-67, Site no 252, Sector 67, 4th, 5th. 6th, and 10th Floor","$1,158,342 ",923,"$1,255 ","$410,902 ","11/23/2031 (4th & 5th Flr)
11/14/2032 (10th Flr)
8/19/2033 (6th Flr, 7th Flr)"
Paris,176 avenue Charles de Gaulle - 92200 Neuilly sur Seine,"$723,440 ",22,"$32,884 ",,16-Dec-27
Santiago,"Asturias 77, 7550130 Las Condes, Región Metropolitana","$104,133 ",36,"$2,893 ","$177,140 ",1-Jan-27
Sao Paulo,"Rua Auriflama, 61, Sao Paulo, Brazil","$63,074 ",44,"$1,434 ",,24-Nov-28
Singapore,"2 Central Boulevard, #14-04A","$408,462 ",15,"$27,231 ",,14-Jul-28
Sydney,"39 Martin Place, Sydney","$871,084 ",42,"$20,990 ","$31,967 ",10-Apr-33
The Hague,"Anna van Buerenplein 41, 2595 DA Den Haag","$239,295 ",22,"$10,877 ",,31-May-29
Tokyo,"L18 Marunouchi Eiraku Building, 1-4-1 Marunouchi Chida-ku, Tokyo Japan","$333,003 ",10,"$33,300 ",,30-Nov-28
Shanghai,"No.669 Xinzha Road, One Museum, Jingan District","$308,945 ",21,"$14,712 ",,30-Sep-28
Seoul,"769 Magok-dong, Gangseo-gu","$120,360 ",1,"$120,360 ",,5-Sep-28
