office_location,ytd_avg_attendance_count,Development & Construction (5-day %),Investment Management (5-day %),Property Management (5-day %),Corporate (5-day %)
Albuquerque,4.6,0.0,0.0,0.9911,0.0089
Arlington,26.1,0.8107,0.0024,0.1784,0.0085
Atlanta,31.1,0.4307,0.0069,0.5035,0.0589
Austin,34.3,0.3652,0.0023,0.6256,0.0069
Baltimore,4.1,0.0989,0.0,0.0,0.9011
Bloomington,0.0,,,,
Boston,12.0,0.8373,0.0331,0.1265,0.003
Brentwood,5.6,0.0,0.0,1.0,0.0
Charleston,204.2,0.2281,0.5705,0.0786,0.1228
Charlotte,22.8,0.3903,0.0029,0.6068,0.0
Chicago,14.8,0.0057,0.0,0.9449,0.0494
Dallas - Cypress Waters,30.7,0.0,0.0,0.8507,0.1493
Dallas - In-Town,17.7,0.6014,0.3694,0.0203,0.009
Dallas - Irving,4.4,0.5,0.0,0.25,0.25
Dallas - Southlake,28.2,0.5398,0.008,0.3806,0.0716
Dublin,5.8,0.0,0.8605,0.093,0.0465
Escondido,8.1,0.0,0.0,1.0,0.0
Fort Lauderdale,15.7,0.7054,0.0,0.293,0.0016
Frankfurt,9.9,0.0,0.9671,0.0033,0.0296
Greenwood Village,25.7,0.294,0.0,0.706,0.0
Hermosa Beach,0.0,,,,
Houston,60.5,0.2261,0.0099,0.7446,0.0194
Las Vegas,4.4,0.0,0.0,1.0,0.0
London,133.6,0.0,0.8777,0.0136,0.1086
Los Angeles,2.9,0.9851,0.0,0.0,0.0149
Lynnwood,2.3,0.0,0.0,1.0,0.0
Madrid,26.3,0.0,0.8296,0.0101,0.1603
Melbourne,8.5,0.1182,0.803,0.0493,0.0296
Memphis,23.9,0.0,0.0027,0.9403,0.057
Mohali,583.4,0.0,0.0001,0.0004,0.9995
Nashville,6.5,0.8943,0.0,0.1019,0.0038
New York,17.2,0.2505,0.3519,0.3479,0.0497
Newport Beach,23.7,0.2137,0.6573,0.1223,0.0067
Ontario,1.5,0.0,0.0,1.0,0.0
Orlando,9.1,0.6173,0.0,0.3724,0.0102
Paris,15.8,0.0031,0.816,0.0519,0.1289
Philadelphia,9.9,0.7093,0.0,0.2843,0.0064
Phoenix,40.9,0.1876,0.0,0.7897,0.0227
Portland,13.6,0.1206,0.0,0.8794,0.0
Raleigh,7.7,0.0,0.0,1.0,0.0
Roseville,4.3,0.0,0.0,1.0,0.0
San Antonio,12.2,0.0259,0.0,0.9698,0.0043
San Francisco,11.2,0.5786,0.0464,0.3714,0.0036
San Jose,4.3,0.0,0.0,1.0,0.0
Santiago,0.0,,,,
Sao Paulo,0.0,,,,
Seattle,14.5,0.2,0.0,0.7677,0.0323
Seoul,1.0,0.0,1.0,0.0,0.0
Shanghai,8.3,0.023,0.977,0.0,0.0
Singapore,3.5,0.0,1.0,0.0,0.0
Solana Beach,3.2,0.8958,0.0,0.0,0.1042
Spokane,0.0,,,,
Sydney,27.0,0.0437,0.7932,0.0204,0.1427
Tampa,9.8,0.6657,0.0,0.2702,0.0641
The Hague,17.5,0.0,0.8466,0.0058,0.1476
Tokyo,9.3,0.0,1.0,0.0,0.0
West Palm Beach,1.9,0.0,0.0,1.0,0.0
