office_location,deskcount,date
Albuquerque,10,2024-03-01
Arlington,37,2024-03-01
Atlanta,58,2024-03-01
Austin,51,2024-03-01
Baltimore,24,2024-03-01
Bloomington,12,2024-03-01
Boston,35,2024-03-01
Charleston,367,2024-03-01
Charlotte,47,2024-03-01
Chicago,45,2024-03-01
Dallas - In-Town,34,2024-03-01
Dallas - Irving,260,2024-03-01
Escondido,36,2024-03-01
Eugene,2,2024-03-01
Fort Lauderdale,31,2024-03-01
Greenwood Village,37,2024-03-01
Houston,56,2024-03-01
Las Vegas,12,2024-03-01
Los Angeles,8,2024-03-01
Lynnwood,10,2024-03-01
Memphis,126,2024-03-01
Brentwood,12,2024-03-01
New York,24,2024-03-01
Newport Beach,57,2024-03-01
Ontario,13,2024-03-01
Orlando,20,2024-03-01
Philadelphia,15,2024-03-01
Phoenix,115,2024-03-01
Portland,38,2024-03-01
Raleigh,24,2024-03-01
Roseville,15,2024-03-01
San Antonio,20,2024-03-01
San Francisco,59,2024-03-01
San Jose,12,2024-03-01
Seattle,151,2024-03-01
Solana Beach,14,2024-03-01
Spokane,10,2024-03-01
Tampa,30,2024-03-01
West Palm Beach,1,2024-03-01
Dublin,8,2024-03-01
Frankfurt,20,2024-03-01
London,157,2024-03-01
Madrid,57,2024-03-01
Melbourne,30,2024-03-01
Mohali,309,2024-03-01
Paris,44,2024-03-01
Santiago,15,2024-03-01
Sao Paulo,27,2024-03-01
Singapore,28,2024-03-01
Sydney,50,2024-03-01
The Hague,46,2024-03-01
Tokyo,20,2024-03-01
Albuquerque,10,2024-06-01
Arlington,37,2024-06-01
Atlanta,58,2024-06-01
Austin,51,2024-06-01
Baltimore,24,2024-06-01
Bloomington,12,2024-06-01
Boston,35,2024-06-01
Charleston,367,2024-06-01
Charlotte,47,2024-06-01
Chicago,45,2024-06-01
Dallas - In-Town,34,2024-06-01
Dallas - Irving,260,2024-06-01
Escondido,36,2024-06-01
Eugene,2,2024-06-01
Fort Lauderdale,31,2024-06-01
Greenwood Village,37,2024-06-01
Houston,56,2024-06-01
