OfficeLocation,Address,Deskcount,RSF,Date,Include in Occupancy Calculation
Albuquerque,"6565 Americas Parkway NE, suite 320",10,2589,2024-02-01,No
Arlington,3101 Wilson Blvd.,37,10166,2024-02-01,No
Atlanta,1545 Peachtree Street,58,24836,2024-02-01,No
Austin,2500 Bees Cave Road ,51,18328,2024-02-01,No
Baltimore,"2650 Quarry Lake Dr, Suite 300, Baltimore, MD 21208",24,3726,2024-02-01,No
Bloomington,3800 American Blvd West,12,3361,2024-02-01,No
Boston,One Federal Street,35,6505,2024-02-01,No
Charleston,465 Meeting Street,367,69149,2024-02-01,No
Charlotte,521 East Morehead St,47,10367,2024-02-01,No
Chicago,311 South Wacker Drive,45,8070,2024-02-01,No
Dallas - In-Town,5207 McKinney Avenue,34,6724,2024-02-01,No
Dallas - Irving,600 Las Colinas Blvd E,260,47904,2024-02-01,No
Escondido,The Slatestone Building 960 Centerbury Place,36,4694,2024-02-01,No
Eugene,"2911 Tennyson Ave., Suite 101",2,533,2024-02-01,No
Fort Lauderdale,788 E Las Olas Blvd,31,9065,2024-02-01,No
Greenwood Village,5445 DTC Parkway ,37,8444,2024-02-01,No
Houston,730 Town and Country Blvd,56,22527,2024-02-01,No
Las Vegas,6623 Las Vegas Blvd,12,3173,2024-02-01,No
Los Angeles,3625 Del Amo Blvd. Torrance CA,8,2506,2024-02-01,No
Lynnwood,19020 33rd Ave W,10,3204,2024-02-01,No
Memphis,999 Shady Grove Road,126,26981,2024-02-01,No
Brentwood,12 Cadillac Drive,12,3410,2024-02-01,No
New York,280 Park Avenue,24,8936,2024-02-01,No
Newport Beach,620 Newport Center Drive,57,14624,2024-02-01,No
Ontario,3602 Inland Empire Blvd,13,1837,2024-02-01,No
Orlando,301 E Pine Street,20,4321,2024-02-01,No
Philadelphia,161 Washington Street,15,3990,2024-02-01,No
Phoenix,2525 East Camelback Road,115,27498,2024-02-01,No
Portland,1125 NW Couch Street,38,7794,2024-02-01,No
Raleigh,4131 Parklake Ave,24,5500,2024-02-01,No
Roseville,1430 Blue Oaks Blvd,15,3426,2024-02-01,No
San Antonio,927 E Sonterra Blvd,20,6027,2024-02-01,No
San Francisco,450 Sansome Street,59,9154,2024-02-01,No
San Jose,2025 Gateway Place,12,2945,2024-02-01,No
Seattle,800 Fifth Avenue,151,25567,2024-02-01,No
Solana Beach,380 Stevens Avenue,14,3809,2024-02-01,No
Spokane,510 W. Riverside,10,2647,2024-02-01,No
Tampa,"The Loft at Midtown, Suite 330, 3615 Bromley Grand Avenue, Tampa, Florida
33607",30,6152,2024-02-01,No
West Palm Beach,105 S Narcissus Ave,1,1505,2024-02-01,No
Dublin,"63 Merrion Square, 2nd & 3rd Floor, Dublin 2",8,2098,2024-02-01,No
Frankfurt,"Bleidenstrasse 1, 60311 Frankfurt",20,3552,2024-02-01,No
London,"15 Finsbury Circus and 10 South Place (The Gilbert 39-45 Finsbury Square London, United Kingdom EC2A 1PQ)",157,14353,2024-02-01,No
Madrid,Paseo De la Castellana 163,57,5259,2024-02-01,No
Melbourne,"80 Collins Street, North Tower",32,3509,2024-02-01,No
Mohali,"CP-67, Site no 252, Sector 67, 4th, 5th and 10th Floor",309,50345,2024-02-01,No
Paris,176 avenue Charles de Gaulle - 92200 Neuilly sur Seine,44,6490,2024-02-01,No
Santiago,"Asturias 77, 7550130 Las Condes, Región Metropolitana",15,2869,2024-02-01,No
Sao Paulo,"Rua Auriflama, 61, Sao Paulo, Brazil",27,1798,2024-02-01,No
Singapore,20 Cecil Street,28,2440,2024-02-01,No
Sydney,"32 Carrington Street Sydney NSW 2000, Australia",50,3014,2024-02-01,No
The Hague,"Anna van Buerenplein 41, 2595 DA Den Haag",46,6415,2024-02-01,No
Tokyo,"L18 Marunouchi Eiraku Building, 1-4-1 Marunouchi Chida-ku, Tokyo Japan",20,3000,2024-02-01,No
