date,office_location,line_of_business,attendance_count,deskcount,occupancy_rate
2024-06-06,Albuquerque,Property Management,11,10,1.1
2024-07-17,Albuquerque,Property Management,11,10,1.1
2024-08-27,Albuquerque,Property Management,11,10,1.1
2025-01-13,Albuquerque,Property Management,11,10,1.1
2025-08-05,Albuquerque,Property Management,11,10,1.1
2025-08-19,Albuquerque,Property Management,11,10,1.1
2025-08-20,Albuquerque,Property Management,12,10,1.2
2025-08-28,Albuquerque,Property Management,12,10,1.2
2024-06-12,Atlanta,Property Management,65,58,1.1206896551724137
2024-07-18,Atlanta,Property Management,59,58,1.0172413793103448
2025-06-05,Atlanta,Property Management,59,58,1.0172413793103448
2025-07-17,Atlanta,Property Management,78,58,1.3448275862068966
2025-08-07,Atlanta,Property Management,65,58,1.1206896551724137
2024-07-25,Austin,Property Management,53,51,1.03921568627451
2024-08-23,Austin,Property Management,57,51,1.1176470588235294
2024-09-11,Austin,Property Management,52,51,1.0196078431372548
2025-02-17,Austin,Property Management,55,51,1.0784313725490196
2025-08-08,Austin,Property Management,61,51,1.196078431372549
2025-08-14,Austin,Property Management,55,51,1.0784313725490196
2024-04-08,Brentwood,Property Management,13,12,1.0833333333333333
2024-05-06,Brentwood,Property Management,13,12,1.0833333333333333
2024-06-03,Brentwood,Property Management,13,12,1.0833333333333333
2024-08-12,Brentwood,Property Management,13,12,1.0833333333333333
2024-08-26,Brentwood,Property Management,14,12,1.1666666666666667
2024-09-09,Brentwood,Property Management,13,12,1.0833333333333333
2024-10-21,Brentwood,Property Management,15,12,1.25
2024-10-31,Brentwood,Property Management,13,12,1.0833333333333333
2024-11-18,Brentwood,Property Management,13,12,1.0833333333333333
2024-12-09,Brentwood,Property Management,21,12,1.75
2025-06-02,Brentwood,Property Management,16,12,1.3333333333333333
2025-06-16,Brentwood,Property Management,13,12,1.0833333333333333
2025-06-18,Brentwood,Property Management,27,12,2.25
2025-06-30,Brentwood,Property Management,15,12,1.25
2025-07-14,Brentwood,Property Management,16,12,1.3333333333333333
2025-07-21,Brentwood,Property Management,30,12,2.5
2025-07-22,Brentwood,Property Management,22,12,1.8333333333333333
2025-07-28,Brentwood,Property Management,16,12,1.3333333333333333
2025-08-11,Brentwood,Property Management,14,12,1.1666666666666667
2025-08-28,Brentwood,Property Management,13,12,1.0833333333333333
2024-06-25,Charlotte,Property Management,63,47,1.3404255319148937
2024-07-30,Charlotte,Property Management,60,47,1.2765957446808511
2024-07-31,Charlotte,Property Management,64,47,1.3617021276595744
2024-08-01,Charlotte,Property Management,56,47,1.1914893617021276
2024-08-06,Charlotte,Property Management,56,47,1.1914893617021276
2024-08-27,Charlotte,Property Management,56,47,1.1914893617021276
2025-06-11,Charlotte,Property Management,84,47,1.7872340425531914
2024-05-08,Dublin,Investment Management,10,8,1.25
2024-06-12,Dublin,Investment Management,10,8,1.25
2024-07-10,Dublin,Investment Management,11,8,1.375
2024-07-18,Dublin,Investment Management,10,8,1.25
2024-07-19,Dublin,Investment Management,12,8,1.5
2024-07-22,Dublin,Investment Management,12,8,1.5
2024-08-07,Dublin,Investment Management,9,8,1.125
2024-08-19,Dublin,Investment Management,9,8,1.125
2025-04-02,Dublin,Investment Management,9,8,1.125
2025-06-16,Dublin,Investment Management,9,8,1.125
2025-07-17,Dublin,Investment Management,10,8,1.25
2025-07-21,Dublin,Investment Management,9,8,1.125
2025-07-23,Dublin,Investment Management,9,8,1.125
2025-08-06,Dublin,Investment Management,9,8,1.125
2025-08-20,Dublin,Investment Management,10,8,1.25
2025-08-21,Dublin,Investment Management,10,8,1.25
2025-08-22,Dublin,Investment Management,10,8,1.25
2025-07-10,Escondido,Property Management,45,18,2.5
2025-07-24,Escondido,Property Management,22,18,1.2222222222222223
2025-08-07,Escondido,Property Management,29,18,1.6111111111111112
2025-03-26,Frankfurt,Investment Management,22,20,1.1
2025-06-04,Frankfurt,Investment Management,21,20,1.05
2025-06-05,Frankfurt,Investment Management,21,20,1.05
2024-01-08,Greenwood Village,Property Management,44,37,1.1891891891891893
2024-01-22,Greenwood Village,Property Management,55,37,1.4864864864864864
2024-01-29,Greenwood Village,Property Management,49,37,1.3243243243243243
2024-03-04,Greenwood Village,Property Management,50,37,1.351351351351351
2024-03-11,Greenwood Village,Property Management,52,37,1.4054054054054057
2024-03-18,Greenwood Village,Property Management,46,37,1.2432432432432432
2024-03-25,Greenwood Village,Property Management,39,37,1.054054054054054
2024-04-01,Greenwood Village,Property Management,51,37,1.3783783783783785
2024-04-15,Greenwood Village,Property Management,52,37,1.4054054054054057
2024-04-22,Greenwood Village,Property Management,51,37,1.3783783783783785
2024-07-15,Greenwood Village,Property Management,54,37,1.4594594594594594
2024-07-22,Greenwood Village,Property Management,56,37,1.5135135135135136
2024-07-29,Greenwood Village,Property Management,38,37,1.027027027027027
2024-08-05,Greenwood Village,Property Management,45,37,1.2162162162162162
2024-08-12,Greenwood Village,Property Management,49,37,1.3243243243243243
2024-08-19,Greenwood Village,Property Management,42,37,1.135135135135135
2024-08-26,Greenwood Village,Property Management,48,37,1.2972972972972974
2025-04-07,Greenwood Village,Property Management,48,37,1.2972972972972974
2025-04-14,Greenwood Village,Property Management,59,37,1.5945945945945943
2025-04-21,Greenwood Village,Property Management,44,37,1.1891891891891893
2025-05-05,Greenwood Village,Property Management,47,37,1.2702702702702702
2025-05-12,Greenwood Village,Property Management,47,37,1.2702702702702702
2025-05-19,Greenwood Village,Property Management,40,37,1.0810810810810811
2025-05-29,Greenwood Village,Property Management,39,37,1.054054054054054
2025-06-02,Greenwood Village,Property Management,49,37,1.3243243243243243
2025-06-09,Greenwood Village,Property Management,48,37,1.2972972972972974
2025-06-16,Greenwood Village,Property Management,59,37,1.5945945945945943
2025-06-23,Greenwood Village,Property Management,55,37,1.4864864864864864
2025-06-30,Greenwood Village,Property Management,44,37,1.1891891891891893
2025-07-07,Greenwood Village,Property Management,39,37,1.054054054054054
2025-07-14,Greenwood Village,Property Management,50,37,1.351351351351351
2025-07-21,Greenwood Village,Property Management,55,37,1.4864864864864864
2025-07-28,Greenwood Village,Property Management,45,37,1.2162162162162162
2025-08-06,Greenwood Village,Property Management,38,37,1.027027027027027
2025-08-11,Greenwood Village,Property Management,52,37,1.4054054054054057
2025-08-15,Greenwood Village,Property Management,39,37,1.054054054054054
2025-08-18,Greenwood Village,Property Management,52,37,1.4054054054054057
2025-08-25,Greenwood Village,Property Management,66,37,1.7837837837837838
2024-03-18,Houston,Property Management,63,56,1.125
2024-03-25,Houston,Property Management,57,56,1.0178571428571428
2024-04-03,Houston,Property Management,63,56,1.125
2024-04-09,Houston,Property Management,63,56,1.125
2024-04-11,Houston,Property Management,62,56,1.1071428571428572
2024-04-19,Houston,Property Management,59,56,1.0535714285714286
2024-04-22,Houston,Property Management,59,56,1.0535714285714286
2024-06-03,Houston,Property Management,68,56,1.2142857142857142
2024-06-24,Houston,Property Management,64,56,1.1428571428571428
2024-07-01,Houston,Property Management,90,56,1.6071428571428572
2024-07-22,Houston,Property Management,57,56,1.0178571428571428
2024-07-23,Houston,Property Management,75,56,1.3392857142857142
2024-07-24,Houston,Property Management,68,56,1.2142857142857142
2024-07-29,Houston,Property Management,75,56,1.3392857142857142
2024-08-05,Houston,Property Management,67,56,1.1964285714285714
2024-08-12,Houston,Property Management,59,56,1.0535714285714286
